                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82553,                  1.413,                 1.3088,                0.60317,                 0.6298,                0.60201,                0.45369,                0.83451,                 1.2954,                 1.2592,               0.070652,              0.0032609,              0.0032609
                      1,                0.76695,                 1.1399,                 1.2281,                0.63298,                0.60963,                0.63282,                0.49369,                0.80015,                 1.0815,                  1.165,               0.040391,              0.0063331,              0.0063331
                      2,                0.77931,                 1.0286,                 1.1931,                0.55896,                0.57194,                0.56713,                0.42216,                0.90273,                 1.5042,                 1.2352,              0.0098659,              0.0091413,              0.0091413
                      3,                0.84246,                 1.0549,                 1.2272,                0.62294,                 0.6417,                0.62191,                0.45465,                0.92012,                 1.3196,                 1.2772,               0.008812,               0.008812,               0.008812
                      4,                0.85372,                 1.0104,                 1.2353,                0.58851,                0.71084,                0.63481,                0.45807,                 0.9525,                 1.7203,                 1.2876,               0.008812,               0.008812,               0.008812
                      5,                0.84441,                0.98783,                 1.2232,                0.61879,                0.64694,                0.67561,                0.48247,                0.98791,                 1.2205,                  1.301,               0.008416,               0.008416,               0.008416
                      6,                0.83814,                0.96815,                 1.2247,                 0.6482,                0.56495,                0.61046,                 0.4083,                 1.1287,                 2.1411,                 1.4367,                0.00802,                0.00802,                0.00802
                      7,                0.80753,                0.90526,                 1.2061,                 0.7635,                0.63722,                0.71694,                0.55892,                0.85632,                0.98175,                 1.2096,               0.007624,               0.007624,               0.007624
                      8,                0.78238,                0.85736,                 1.1903,                0.70369,                0.70232,                0.74267,                0.56203,                0.83689,                 0.9213,                 1.1945,               0.007228,               0.007228,               0.007228
                      9,                0.77013,                0.84512,                 1.1792,                0.69756,                 0.7235,                0.73895,                0.56128,                 0.8352,                0.91355,                 1.1777,               0.006832,               0.006832,               0.006832
                     10,                0.75949,                0.81371,                 1.1641,                0.57682,                0.42719,                 0.4907,                0.34859,                 1.1392,                 1.8337,                  1.449,               0.006436,               0.006436,               0.006436
                     11,                0.74603,                0.78831,                 1.1657,                0.80413,                0.71851,                0.77862,                0.59618,                 0.7741,                0.80375,                 1.1283,                0.00604,                0.00604,                0.00604
                     12,                0.70994,                0.72656,                 1.1406,                0.81322,                0.70688,                0.78038,                0.61686,                0.75897,                 0.8938,                 1.1137,               0.005644,               0.005644,               0.005644
                     13,                0.71171,                0.71763,                 1.1374,                0.77172,                0.76082,                0.79467,                 0.6171,                0.77672,                0.73674,                 1.1273,               0.005248,               0.005248,               0.005248
                     14,                0.68099,                0.67677,                 1.1224,                0.86412,                  0.717,                0.82271,                0.63937,                0.75992,                0.68798,                 1.1193,               0.004852,               0.004852,               0.004852
                     15,                0.67984,                0.65919,                 1.1185,                0.80961,                0.82733,                0.86167,                0.69854,                0.69889,                0.65291,                 1.0637,               0.004456,               0.004456,               0.004456
                     16,                0.63893,                0.62456,                 1.1055,                0.80674,                0.79501,                0.84376,                0.69084,                0.70472,                0.62961,                 1.0793,                0.00406,                0.00406,                0.00406
                     17,                0.64985,                 0.6164,                  1.106,                 0.8253,                0.80791,                0.85982,                0.69245,                0.71592,                0.63916,                 1.0629,               0.003664,               0.003664,               0.003664
                     18,                 0.6143,                0.59131,                 1.0818,                0.81871,                0.82618,                 0.8627,                 0.7062,                0.69109,                0.59141,                 1.0581,               0.003268,               0.003268,               0.003268
                     19,                  0.603,                0.56482,                 1.0736,                0.84679,                0.84003,                0.88597,                0.71605,                0.71825,                 0.6183,                 1.0881,               0.002872,               0.002872,               0.002872
                     20,                0.58571,                0.54488,                 1.0656,                0.85022,                0.82021,                0.87233,                0.69388,                0.69266,                  0.576,                 1.0638,               0.002476,               0.002476,               0.002476
                     21,                0.57622,                0.51775,                 1.0587,                0.86473,                0.82972,                0.88028,                0.72136,                0.67046,                0.58583,                 1.0484,                0.00208,                0.00208,                0.00208
                     22,                0.57319,                0.51119,                  1.057,                0.86202,                0.85631,                0.90182,                0.73966,                0.66709,                0.52796,                   1.04,               0.001684,               0.001684,               0.001684
                     23,                0.53809,                0.48835,                 1.0345,                0.87873,                0.88914,                0.91601,                0.75143,                0.65279,                 0.5062,                 1.0329,               0.001288,               0.001288,               0.001288
                     24,                0.54144,                0.47017,                 1.0406,                0.88728,                0.84076,                0.90374,                0.75988,                 0.6308,                0.52256,                 1.0077,               0.000892,               0.000892,               0.000892
